,ch_name
0,藏青
1,绿色
2,橘色
3,黄色
4,蓝色
5,粉色
6,黑色
7,卡其色
8,粉红色
9,深灰色
10,深蓝色
11,蓝色预售30天发货
12,卡其预售30天发货
13,粉色预售30天发货
14,桔红色
15,白色
16,米白色
17,紫色
18,红色
19,灰色
20,宝蓝
21,大红
22,米色
23,彩色
24,牛油果绿
25,玫红色
26,孔雀蓝
27,米黄色
28,蓝灰
29,本白色
30,米白格
31,棕灰格
32,暗红格
33,亮黄色
34,果绿色
35,海军蓝色
36,烟熏蓝
37,灰杏色
38,杏色外套
39,灰色外套
40,黑色套装
41,红色套装
42,白色套装
43,粉色套装
44,杏色
45,系带收腰棉服--红色
46,系带收腰棉服--米色
47,灰色毛衣
48,黑色背心裙
49,紫色v领针织上衣
50,绿色v领针织上衣
51,红色v领针织上衣
52,粉色v领针织上衣
53,020黑色
54,110蓝色
55,仅藕色上衣
56,仅浅蓝色上衣
57,焦糖色
58,经典黑
59,质感白
60,浅蓝色
61,军绿色
62,咖色
63,藏青色
64,灰
65,黑
66,牡丹粉
67,樱花粉
68,浅驼色
69,金驼色
70,雅致蓝
71,米驼色
72,咖色BN
73,橙色OE
74,灰色上衣+卡其色裙子
75,白色上衣+灰色裙子
76,咖啡色
77,复古黄
78,酒红色
79,米白
80,1018复古蓝
81,1018浅蓝色
82,藏蓝
83,浅蓝
84,红
85,瑞典红
86,胭脂红
87,浅粉
88,墨蓝
89,深杏
90,浅灰色
91,蓝条纹
92,粉条纹
93,杏条纹
94,灰色套装
95,白色上衣+黑色背带裙
96,棕色上衣+卡其色背带裙
97,玛莎拉红
98,军绿
99,焦糖
100,湖蓝色
101,白色（现货）
102,黑色（现货）
103,枣红
104,玫红
105,天蓝
106,姜黄色
107,气质黑
108,嫩肤白
109,藏蓝色
110,粉红色毛衣单件
111,白色衬衣单件
112,藏青色毛衣单件
113,米白色毛衣单件
114,灰卫衣+卡其裙
115,白卫衣+灰裙
116,浅杏色半身裙
117,彩虹小鸟黄吊带裤
118,黑白条吊带裤
119,蓝色（尺码偏小）
120,黑色（尺码偏小）
121,浅驼5080（特宽松款介意可拍小一码）
122,本白1100（特宽松款介意可拍小一码）
123,深蓝8804（特宽松款介意可拍小一码）
124,黑色上衣+豹纹半身裙
125,白色上衣+粉色半身裙
126,棕褐色
127,灰蓝
128,大红色
129,灰蓝色
130,白色外套
131,蓝色衬衫
132,桔色
133,黑色连衣裙
134,杏色马甲
135,酒红
136,粉条
137,蓝灰条
138,雾蓝
139,灰色条纹套装
140,杏色上衣+半身裙
141,藏青色上衣+半身裙
142,黑色毛呢
143,红色毛呢
144,脏白
145,燕麦色
146,驼色
147,黑色粉白边
148,黑色白边
149,中黄(E3)
150,黝黑(A2)
151,卡其
152,白底绿花
153,白底玫瑰花
154,米白色3
155,藕色
156,1981咖色+1981咖色
157,粉色1
158,黄条纹
159,红条纹
160,黑白条纹&middot;
161,C99_黑色
162,C51_浅绿
163,蓝色（升级版）
164,黑色（升级版）
165,黄色预售
166,黑色预售
167,米色预售
168,皮粉色
169,米驼
170,姜黄
171,浅灰
172,杏色马甲+咖色连衣裙
173,藏青马甲+黑色连衣裙
174,086-军绿色
175,086-黑色
176,大白
177,786#咖啡色
178,786#香芋紫
179,743#深咖啡色
180,786#黄色
181,湖绿色
182,墨绿色
183,紫粉色
184,黑色（单马甲）
185,宝石蓝（单马甲）
186,橘色（单马甲）
187,黄色（单马甲）
188,孔蓝（单马甲）
189,红色（单马甲）
190,5031Y蓝色上衣
191,5031Y黑色上衣
192,5031Y米色上衣
193,灰底红花
194,黑底红花
195,蓝色底花
196,黑底白条
197,红花
198,黑花
199,天黑
200,暖白
201,浅蓝绿
202,珍珠白
203,浅咖色
204,雾蓝色
205,深灰
206,雾霾蓝
207,淡紫色
208,牙白
209,茶色
210,荧光绿
211,西柚红
212,棕黄色
213,淡红色
214,蓝色露背卫衣
215,卡其色露背卫衣
216,6658墨绿
217,6628绿色
218,6658紫色
