,ch_name,rectified
0,藏青,藏青
1,绿色,绿色
2,橘色,橘色
3,黄色,黄色
4,蓝色,蓝色
5,粉色,粉色
6,黑色,黑色
7,卡其色,卡其色
8,粉红色,粉红色
9,深灰色,深灰色
10,深蓝色,深蓝色
11,蓝色预售30天发货,蓝色
12,卡其预售30天发货,卡其色
13,粉色预售30天发货,粉色
14,桔红色,桔红色
15,白色,白色
16,米白色,米白色
17,紫色,紫色
18,红色,红色
19,灰色,灰色
20,宝蓝,宝蓝
21,大红,大红
22,米色,米色
23,彩色,彩色
24,牛油果绿,牛油果绿
25,玫红色,玫红色
26,孔雀蓝,孔雀蓝
27,米黄色,米黄色
28,蓝灰,蓝灰
29,本白色,本白色
30,米白格,米白格子
31,棕灰格,棕灰格子
32,暗红格,暗红格子
33,亮黄色,亮黄色
34,果绿色,果绿色
35,海军蓝色,海军蓝色
36,烟熏蓝,烟熏蓝
37,灰杏色,灰杏色
38,杏色外套,杏色
39,灰色外套,灰色
40,黑色套装,黑色
41,红色套装,红色
42,白色套装,白色
43,粉色套装,粉色
44,杏色,杏色
45,系带收腰棉服--红色,红色
46,系带收腰棉服--米色,米色
47,灰色毛衣,灰色
48,黑色背心裙,黑色
49,紫色v领针织上衣,紫色
50,绿色v领针织上衣,绿色
51,红色v领针织上衣,红色
52,粉色v领针织上衣,粉色
53,020黑色,黑色
54,110蓝色,蓝色
55,仅藕色上衣,藕色
56,仅浅蓝色上衣,浅蓝色
57,焦糖色,焦糖色
58,经典黑,经典黑
59,质感白,质感白
60,浅蓝色,浅蓝色
61,军绿色,军绿色
62,咖色,咖色
63,藏青色,藏青色
64,灰,灰色
65,黑,黑色
66,牡丹粉,牡丹粉
67,樱花粉,樱花粉
68,浅驼色,浅驼色
69,金驼色,金驼色
70,雅致蓝,雅致蓝
71,米驼色,米驼色
72,咖色BN,咖色
73,橙色OE,橙色
74,灰色上衣+卡其色裙子,灰色+卡其色
75,白色上衣+灰色裙子,白色+灰色
76,咖啡色,咖啡色
77,复古黄,黄
78,酒红色,酒红色
79,米白,米白
80,1018复古蓝,蓝
81,1018浅蓝色,浅蓝色
82,藏蓝,藏蓝
83,浅蓝,浅蓝
84,红,红
85,瑞典红,瑞典红
86,胭脂红,胭脂红
87,浅粉,浅粉
88,墨蓝,墨蓝
89,深杏,深杏
90,浅灰色,浅灰色
91,蓝条纹,蓝条纹
92,粉条纹,粉条纹
93,杏条纹,杏条纹
94,灰色套装,灰色
95,白色上衣+黑色背带裙,白色+黑色
96,棕色上衣+卡其色背带裙,棕色+卡其色
97,玛莎拉红,玛莎拉红
98,军绿,军绿
99,焦糖,焦糖
100,湖蓝色,湖蓝色
101,白色（现货）,白色
102,黑色（现货）,黑色
103,枣红,枣红
104,玫红,玫红
105,天蓝,天蓝
106,姜黄色,姜黄色
107,气质黑,黑
108,嫩肤白,嫩肤白
109,藏蓝色,藏蓝色
110,粉红色毛衣单件,粉红色
111,白色衬衣单件,白色
112,藏青色毛衣单件,藏青色
113,米白色毛衣单件,米白色
114,灰卫衣+卡其裙,灰色+卡其色
115,白卫衣+灰裙,白色+灰色
116,浅杏色半身裙,浅杏色
117,彩虹小鸟黄吊带裤,黄色
118,黑白条吊带裤,黑白条
119,蓝色（尺码偏小）,蓝色
120,黑色（尺码偏小）,黑色
121,浅驼5080（特宽松款介意可拍小一码）,浅驼
122,本白1100（特宽松款介意可拍小一码）,本白
123,深蓝8804（特宽松款介意可拍小一码）,深蓝
124,黑色上衣+豹纹半身裙,黑色
125,白色上衣+粉色半身裙,白色+粉色
126,棕褐色,棕褐色
127,灰蓝,灰蓝
128,大红色,大红色
129,灰蓝色,灰蓝色
130,白色外套,白色
131,蓝色衬衫,蓝色
132,桔色,桔色
133,黑色连衣裙,黑色
134,杏色马甲,杏色
135,酒红,酒红
136,粉条,粉条
137,蓝灰条,蓝灰条
138,雾蓝,雾蓝
139,灰色条纹套装,灰色条纹
140,杏色上衣+半身裙,杏色
141,藏青色上衣+半身裙,藏青色
142,黑色毛呢,黑色
143,红色毛呢,红色
144,脏白,脏白
145,燕麦色,燕麦色
146,驼色,驼色
147,黑色粉白边,黑色+粉白色
148,黑色白边,黑色+白色
149,中黄(E3),中黄
150,黝黑(A2),黝黑
151,卡其,卡其色
152,白底绿花,白色+绿色
153,白底玫瑰花,白色+玫瑰
154,米白色3,米白色
155,藕色,藕色
156,1981咖色+1981咖色,咖色+咖色
157,粉色1,粉色
158,黄条纹,黄条纹
159,红条纹,红条纹
160,黑白条纹&middot;,黑白条纹
161,C99_黑色,黑色
162,C51_浅绿,浅绿
163,蓝色（升级版）,蓝色
164,黑色（升级版）,黑色
165,黄色预售,黄色
166,黑色预售,黑色
167,米色预售,米色
168,皮粉色,粉色
169,米驼,米驼
170,姜黄,姜黄
171,浅灰,浅灰
172,杏色马甲+咖色连衣裙,杏色+咖色
173,藏青马甲+黑色连衣裙,藏青+黑色
174,086-军绿色,军绿色
175,086-黑色,黑色
176,大白,大白
177,786#咖啡色,咖啡色
178,786#香芋紫,香芋紫
179,743#深咖啡色,深咖啡色
180,786#黄色,黄色
181,湖绿色,湖绿色
182,墨绿色,墨绿色
183,紫粉色,紫粉色
184,黑色（单马甲）,黑色
185,宝石蓝（单马甲）,宝石蓝
186,橘色（单马甲）,橘色
187,黄色（单马甲）,黄色
188,孔蓝（单马甲）,孔蓝
189,红色（单马甲）,红色
190,5031Y蓝色上衣,蓝色
191,5031Y黑色上衣,黑色
192,5031Y米色上衣,米色
193,灰底红花,灰色+红色
194,黑底红花,黑色+红色
195,蓝色底花,蓝色底花
196,黑底白条,黑底白条
197,红花,红花
198,黑花,黑花
199,天黑,天黑
200,暖白,暖白
201,浅蓝绿,浅蓝绿
202,珍珠白,珍珠白
203,浅咖色,浅咖色
204,雾蓝色,雾蓝色
205,深灰,深灰
206,雾霾蓝,雾霾蓝
207,淡紫色,淡紫色
208,牙白,牙白
209,茶色,茶色
210,荧光绿,荧光绿
211,西柚红,柚红
212,棕黄色,棕黄色
213,淡红色,淡红色
214,蓝色露背卫衣,蓝色
215,卡其色露背卫衣,卡其色
216,6658墨绿,墨绿
217,6628绿色,绿色
218,6658紫色,紫色
219,6628蓝色,蓝色
220,6628红色,红色
221,6628黑色,黑色
222,6661白色,白色
223,6658黄色,黄色
224,6628焦糖色,焦糖色
225,6661粉色,粉色
226,天空蓝,天空蓝
227,深蓝,深蓝
228,墨绿,墨绿
229,浅烟灰,浅烟灰
230,丁香紫,丁香紫
231,橙色,橙色
232,枣红色,枣红色
233,裙子红碎花,红碎花
234,外套藏青色,藏青色
235,裙子蓝碎花,蓝碎花
236,外套黑色,黑色
237,绿色上衣,绿色
238,红色上衣,红色
239,香槟色上衣+桔粉色下裙,香槟色+桔粉色
240,香槟色上衣+西瓜红下裙,香槟色+瓜红
241,纯黑色,纯黑色
242,纯白色,纯白色
243,浅紫色,浅紫色
244,上青,上青
245,红色（卫衣）,红色
246,蓝色（卫衣）,蓝色
247,黑色（卫衣）,黑色
248,紫色（卫衣）,紫色
249,白,白色
250,0919蓝色,蓝色
251,0919白色,白色
252,0919黑色,黑色
253,0919黄色,黄色
254,白色爱心卫衣,白色爱心
255,黑色爱心卫衣,黑色爱心
256,深褐色002,深褐色
257,黑色001,黑色
258,白色内搭+咖色马甲,白色+咖色
259,红色内搭+杏色马甲,红色+杏色
260,卡色,卡色
261,西瓜红,瓜红
262,蓝,蓝色
263,天蓝色,天蓝色
264,象牙色,象牙色
265,豆沙紫,豆沙紫
266,WXR6120兰花,兰花
267,WXR6120黑花,黑花
268,WXR6120黄花,黄花
269,WXR6120红花,红花
270,黑红,黑红
271,黑金,黑金
272,中国红,中国红
273,烟灰色,烟灰色
274,灰色衬衣,灰色
275,白色衬衣,白色
276,黑白色,黑白色
277,蓝白色,蓝白色
278,银色,银色
279,青灰色连衣裙,青灰色
280,红色连衣裙,红色
281,砖红,砖红
282,孔雀旅色系,孔雀旅色
283,粉色系,粉色
284,海军蓝色系,海军蓝色
285,香芋紫,香芋紫
286,藏青色短袖,藏青色
287,黑色牛仔短裤,黑色
288,米杏色,米杏色
289,摩卡棕,摩卡棕
290,白衣+黑裤,白+黑
291,黄衣+兰裤,黄+兰
292,黄衣+黑裤,黄+黑
293,黄衣+白裤,黄+白
294,白衣+兰裤,白+兰
295,白色半身裙,白色
296,浅蓝色半身裙,浅蓝色
297,白色上衣,白色
298,深蓝上衣,深蓝
299,午夜黑,午夜黑
300,蜜杏,蜜杏
301,蓝白条,蓝白条
302,啡白条,啡白条
303,肉色,肉色
304,单件红色连衣裙,红色
305,单件蓝色连衣裙,蓝色
306,粉紫,粉紫
307,湖绿,湖绿
308,经典渐变粉,粉
309,粉红色后背三粒扣衬衫,粉红色
310,米白色后背三粒扣衬衫,米白色
311,黄色两件套,黄色
312,粉色两件套,粉色
313,粉色卫衣,粉色
314,黑格子,黑格子
315,蓝格子,蓝格子
316,粉色长袖西装+西裤,粉色
317,绿色长袖西装+西裤,绿色
318,黑色长袖西装+西裤,黑色
319,圣诞红,圣诞红
320,皮红,红
321,裸色,裸色
322,夜空黑,夜空黑
323,米白004,米白
324,烟雾粉181,烟雾粉
325,薄荷绿,薄荷绿
326,牛子蓝,牛蓝
327,紫酱红,紫酱红
328,浅咖,浅咖
329,苹果绿,苹果绿
330,玫瑰粉,玫瑰粉
331,黑色格子,黑色格子
332,奶茶色格子,奶茶色格子
333,皮粉,粉
334,米黄,米黄
335,白毛衣+白色裙,白+白色
336,粉毛衣+粉色裙,粉+粉色
337,白色(半身裙),白色
338,天蓝色(半身裙),天蓝色
339,黑条纹,黑条纹
340,灰牛仔,灰
341,牛仔蓝,蓝
342,黑色裤子,黑色
343,橘红色,橘红色
344,豆沙绿,豆沙绿
345,香芋紫色,香芋紫色
346,豆绿色,豆绿色
347,蓝色（上衣+裤子）,蓝色
348,黑色（上衣+裤子）,黑色
349,红烧（上衣+裤子）,红烧
350,米白（上衣+裤子）,米白
351,驼格,驼格子
352,宝蓝格,宝蓝格子
353,淡卡其色,淡卡其色
